日期,日均价_元每kWh,日最低价_元每kWh,日最高价_元每kWh,日峰谷差_元每kWh
2025-03-25,0.7712756944444445,0.3706,1.3143,0.9437
2025-03-26,0.7566111111111111,0.3654,1.3062,0.9408000000000001
2025-03-27,0.7664159722222225,0.3125,1.3182,1.0057
2025-03-28,0.5747680555555558,0.1269,1.1837,1.0568
2025-03-29,0.5630868055555557,0.0913,1.1833,1.092
2025-03-30,0.7520270833333335,0.3471,1.3168,0.9697
2025-03-31,0.7607041666666666,0.3473,1.3379,0.9906000000000001
2025-04-01,0.7731090277777779,0.3582,1.3193,0.9610999999999998
2025-04-02,0.7723201388888893,0.3693,1.3316,0.9622999999999999
2025-04-03,0.7644638888888888,0.3202,1.3867,1.0665
2025-04-04,0.5595027777777779,0.0905,1.2001,1.1096
2025-04-05,0.575528472222222,0.1482,1.1736,1.0253999999999999
2025-04-06,0.7556868055555556,0.3579,1.3107,0.9528
2025-04-07,0.7517159722222224,0.3671,1.3349,0.9678
2025-04-08,0.7519159722222226,0.3246,1.3574,1.0328
2025-04-09,0.7662708333333332,0.3756,1.321,0.9454
2025-04-10,0.7580270833333335,0.2828,1.3433,1.0605
2025-04-11,0.5514784722222226,0.1092,1.1471,1.0379
2025-04-12,0.563867361111111,0.214,1.1558,0.9418
2025-04-13,0.7562548611111114,0.3493,1.3312,0.9819
2025-04-14,0.7465972222222222,0.3437,1.3446,1.0009000000000001
2025-04-15,0.7385326388888891,0.3275,1.3283,1.0008
2025-04-16,0.7623541666666672,0.3669,1.364,0.9971000000000001
2025-04-17,0.7477673611111112,0.3043,1.3148,1.0105
2025-04-18,0.5594201388888891,0.1948,1.1711,0.9763000000000001
2025-04-19,0.5579763888888888,0.1113,1.1659,1.0546
2025-04-20,0.7454388888888891,0.3618,1.3046,0.9428
2025-04-21,0.7339520833333336,0.2898,1.3263,1.0365
2025-04-22,0.7509583333333331,0.3534,1.3399,0.9865000000000002
2025-04-23,0.7479125000000001,0.3289,1.3932,1.0643
2025-04-24,0.7361847222222222,0.3044,1.349,1.0446
2025-04-25,0.5406916666666668,0.1126,1.1686,1.056
2025-04-26,0.5378048611111109,0.0076,1.196,1.1884
2025-04-27,0.7337826388888888,0.272,1.3177,1.0457
2025-04-28,0.7660520833333335,0.3592,1.3403,0.9811000000000001
2025-04-29,0.7303826388888891,0.3089,1.3284,1.0195
2025-04-30,0.7294423611111112,0.3282,1.3318,1.0036
2025-05-01,0.7473263888888889,0.2921,1.3606,1.0685
2025-05-02,0.5869513888888889,0.2486,1.2187,0.9701
2025-05-03,0.5698243055555552,0.14,1.2238,1.0838
2025-05-04,0.7461284722222223,0.3732,1.3892,1.016
2025-05-05,0.7604611111111113,0.3375,1.3756,1.0381
2025-05-06,0.7532361111111113,0.3324,1.343,1.0106
2025-05-07,0.7587291666666666,0.347,1.3712,1.0242
2025-05-08,0.7616590277777774,0.3201,1.4134,1.0933
2025-05-09,0.5667381944444446,0.1705,1.1847,1.0142
2025-05-10,0.5753076388888889,0.1241,1.1933,1.0692
2025-05-11,0.7607819444444444,0.3089,1.3772,1.0683
2025-05-12,0.7517881944444444,0.3229,1.3827,1.0598
2025-05-13,0.7564458333333335,0.2841,1.3607,1.0766
2025-05-14,0.7475513888888887,0.2722,1.3983,1.1261
2025-05-15,0.7527770833333335,0.3356,1.3271,0.9914999999999999
2025-05-16,0.5453854166666668,0.0992,1.2252,1.1260000000000001
2025-05-17,0.5734159722222221,0.2134,1.2422,1.0288
2025-05-18,0.7506812499999999,0.377,1.3468,0.9698
2025-05-19,0.7317597222222223,0.2653,1.3957,1.1303999999999998
2025-05-20,0.7565819444444442,0.3146,1.373,1.0584
2025-05-21,0.7458243055555553,0.311,1.3612,1.0502
2025-05-22,0.7461930555555556,0.3239,1.3576,1.0336999999999998
2025-05-23,0.5569743055555553,0.1593,1.188,1.0287
2025-05-24,0.5532048611111109,0.1275,1.1755,1.048
2025-05-25,0.7379618055555555,0.3608,1.4094,1.0486
2025-05-26,0.7524722222222225,0.3289,1.3799,1.051
2025-05-27,0.7429215277777779,0.3312,1.3497,1.0185
2025-05-28,0.7512673611111116,0.2285,1.3888,1.1603
2025-05-29,0.7595125000000001,0.3164,1.3731,1.0567
2025-05-30,0.5609930555555557,0.0389,1.2666,1.2277
2025-05-31,0.5663548611111112,0.1409,1.2,1.0591
2025-06-01,0.8191805555555551,0.3697,1.406,1.0363
2025-06-02,0.8099458333333331,0.3546,1.3869,1.0323
2025-06-03,0.8062826388888885,0.3586,1.4412,1.0826
2025-06-04,0.8136590277777775,0.3598,1.4185,1.0587
2025-06-05,0.8220694444444444,0.3403,1.4022,1.0618999999999998
2025-06-06,0.6492826388888888,0.2445,1.2673,1.0228000000000002
2025-06-07,0.6502881944444442,0.2901,1.2859,0.9958
2025-06-08,0.7970791666666667,0.3642,1.4164,1.0522
2025-06-09,0.81925625,0.3522,1.4169,1.0647
2025-06-10,0.8168180555555553,0.377,1.4372,1.0602
2025-06-11,0.8316965277777778,0.2889,1.442,1.1531
2025-06-12,0.8219833333333334,0.3069,1.4394,1.1325
2025-06-13,0.6400291666666668,0.2565,1.298,1.0415
2025-06-14,0.6368673611111111,0.2585,1.238,0.9795
2025-06-15,0.8178270833333333,0.3571,1.4464,1.0893
2025-06-16,0.8232416666666663,0.3023,1.3988,1.0965
2025-06-17,0.8286263888888892,0.3465,1.4509,1.1044
2025-06-18,0.8200499999999998,0.3499,1.4109,1.061
2025-06-19,0.8079104166666671,0.3554,1.4236,1.0682
2025-06-20,0.6213069444444443,0.2668,1.2402,0.9734
2025-06-21,0.6095256944444444,0.1828,1.2633,1.0805
2025-06-22,0.8074916666666666,0.3355,1.4122,1.0766999999999998
2025-06-23,0.804872222222222,0.3539,1.4023,1.0484
2025-06-24,0.840534722222222,0.3611,1.4158,1.0547
2025-06-25,0.8163465277777779,0.3384,1.4004,1.062
2025-06-26,0.8059743055555555,0.3376,1.417,1.0794000000000001
2025-06-27,0.6051201388888892,0.1708,1.2437,1.0729
2025-06-28,0.6229888888888887,0.1995,1.2402,1.0407
2025-06-29,0.8118270833333335,0.3508,1.3938,1.043
2025-06-30,0.8101881944444442,0.3316,1.4347,1.1031
2025-07-01,0.8907618055555557,0.3868,1.7322,1.3454
2025-07-02,0.8753215277777782,0.4184,1.727,1.3086000000000002
2025-07-03,0.9014361111111108,0.3737,1.7936,1.4199000000000002
2025-07-04,0.6903083333333333,0.1337,1.5677,1.4340000000000002
2025-07-05,0.6843187499999996,0.168,1.5334,1.3654000000000002
2025-07-06,0.8986708333333335,0.4315,1.7731,1.3416
2025-07-07,0.8773902777777776,0.3983,1.7052,1.3069000000000002
2025-07-08,0.8836034722222221,0.3935,1.7507,1.3572
2025-07-09,0.8791770833333334,0.3976,1.7416,1.344
2025-07-10,0.8775076388888884,0.4072,1.7648,1.3576
2025-07-11,0.7069465277777779,0.2855,1.5451,1.2595999999999998
2025-07-12,0.6942819444444446,0.2556,1.5783,1.3227
2025-07-13,0.8542875000000003,0.3392,1.7345,1.3953
2025-07-14,0.8722152777777779,0.3522,1.7345,1.3822999999999999
2025-07-15,0.8721083333333335,0.3419,1.7416,1.3997000000000002
2025-07-16,0.8758020833333336,0.3718,1.6813,1.3094999999999999
2025-07-17,0.8748208333333338,0.3696,1.7092,1.3396000000000001
2025-07-18,0.6942027777777778,0.3031,1.5835,1.2804
2025-07-19,0.6802993055555555,0.1583,1.5795,1.4211999999999998
2025-07-20,0.8676125,0.3497,1.7018,1.3521
2025-07-21,0.8791791666666666,0.3888,1.7317,1.3429
2025-07-22,0.8751333333333328,0.3953,1.7059,1.3106
2025-07-23,0.8755840277777777,0.4298,1.7196,1.2898
2025-07-24,0.8774458333333333,0.4014,1.7129,1.3115
2025-07-25,0.67696875,0.192,1.5162,1.3242
2025-07-26,0.6880090277777774,0.2778,1.5779,1.3001
2025-07-27,0.8771312499999999,0.3756,1.6917,1.3161
2025-07-28,0.8862368055555553,0.3783,1.7444,1.3660999999999999
2025-07-29,0.884627777777778,0.4164,1.7497,1.3333
2025-07-30,0.8796965277777778,0.3727,1.6898,1.3171
2025-07-31,0.8814312499999999,0.381,1.7439,1.3629
2025-08-01,0.6663972222222216,0.1568,1.5892,1.4324
2025-08-02,0.6621874999999999,0.1219,1.5378,1.4159000000000002
2025-08-03,0.8333687500000001,0.3408,1.692,1.3512
2025-08-04,0.8447847222222226,0.374,1.6947,1.3207
2025-08-05,0.8445958333333334,0.3346,1.7018,1.3672
2025-08-06,0.8577486111111113,0.3616,1.7116,1.35
2025-08-07,0.8411048611111114,0.3292,1.7422,1.413
2025-08-08,0.6379520833333335,0.0665,1.5268,1.4603
2025-08-09,0.6529750000000003,0.1714,1.5586,1.3872
2025-08-10,0.8486909722222221,0.3761,1.7523,1.3761999999999999
2025-08-11,0.8396298611111114,0.3636,1.7686,1.405
2025-08-12,0.8573708333333339,0.3472,1.7091,1.3619
2025-08-13,0.8531652777777776,0.3789,1.7327,1.3538
2025-08-14,0.8501201388888897,0.3843,1.7384,1.3540999999999999
2025-08-15,0.651215277777778,0.1119,1.6114,1.4994999999999998
2025-08-16,0.6473409722222224,0.0685,1.5409,1.4724
2025-08-17,0.8399000000000001,0.3386,1.7136,1.375
2025-08-18,0.8475611111111109,0.3325,1.7616,1.4291
2025-08-19,0.8429152777777781,0.4324,1.7202,1.2877999999999998
2025-08-20,0.8663486111111109,0.4085,1.7251,1.3166000000000002
2025-08-21,0.8472069444444447,0.4163,1.7157,1.2993999999999999
2025-08-22,0.6604708333333332,0.1444,1.5612,1.4167999999999998
2025-08-23,0.6591965277777777,0.1405,1.5209,1.3803999999999998
2025-08-24,0.8410215277777778,0.3394,1.7075,1.3681
2025-08-25,0.8601569444444445,0.3974,1.7083,1.3109
2025-08-26,0.844418055555556,0.3224,1.6987,1.3763
2025-08-27,0.8533874999999997,0.3375,1.7058,1.3683
2025-08-28,0.8635048611111111,0.3748,1.7227,1.3478999999999999
2025-08-29,0.6645076388888889,0.1616,1.5608,1.3992
2025-08-30,0.6546625,0.115,1.5978,1.4828000000000001
2025-08-31,0.8465388888888891,0.4046,1.7034,1.2988
2025-09-01,0.7517326388888886,0.3616,1.367,1.0054
2025-09-02,0.7539930555555558,0.3185,1.3791,1.0606
2025-09-03,0.7609944444444444,0.3744,1.3826,1.0082
2025-09-04,0.7569979166666669,0.3556,1.3949,1.0393
2025-09-05,0.5586402777777777,0.1454,1.2232,1.0778
2025-09-06,0.5657111111111109,0.07,1.2147,1.1446999999999998
2025-09-07,0.7593138888888888,0.3572,1.3878,1.0306
2025-09-08,0.7735236111111112,0.3635,1.358,0.9945000000000002
2025-09-09,0.7518833333333332,0.2568,1.377,1.1202
2025-09-10,0.7818236111111113,0.3604,1.3717,1.0112999999999999
2025-09-11,0.7530638888888889,0.301,1.368,1.0670000000000002
2025-09-12,0.5750854166666666,0.112,1.219,1.107
2025-09-13,0.5665159722222223,0.0376,1.2673,1.2297
2025-09-14,0.7759062499999999,0.3774,1.3811,1.0037
2025-09-15,0.761726388888889,0.3138,1.3666,1.0528
2025-09-16,0.7779465277777778,0.3741,1.3713,0.9972
2025-09-17,0.7780548611111114,0.3228,1.3545,1.0317
2025-09-18,0.7698256944444445,0.355,1.4221,1.0671
2025-09-19,0.5932520833333332,0.2021,1.2857,1.0836000000000001
2025-09-20,0.5874611111111112,0.0958,1.2367,1.1408999999999998
2025-09-21,0.7738493055555558,0.36,1.3742,1.0142000000000002
2025-09-22,0.7821659722222223,0.381,1.3934,1.0124
2025-09-23,0.7817520833333335,0.3271,1.3866,1.0595
2025-09-24,0.776109722222222,0.3701,1.3677,0.9975999999999999
2025-09-25,0.7776076388888887,0.3266,1.3825,1.0559
2025-09-26,0.592813888888889,0.1786,1.1987,1.0201
2025-09-27,0.5996840277777774,0.208,1.2231,1.0151000000000001
2025-09-28,0.7893881944444443,0.3864,1.3665,0.9801
2025-09-29,0.7877583333333334,0.3708,1.3651,0.9943
2025-09-30,0.7938243055555553,0.3589,1.3781,1.0192
2025-10-01,0.7381555555555553,0.2329,1.3138,1.0809000000000002
2025-10-02,0.7419722222222221,0.3234,1.3383,1.0149
2025-10-03,0.5579645833333334,0.0924,1.1747,1.0823
2025-10-04,0.5858305555555554,0.132,1.1845,1.0525000000000002
2025-10-05,0.7525611111111111,0.3247,1.303,0.9783
2025-10-06,0.7684895833333335,0.3294,1.3468,1.0173999999999999
2025-10-07,0.7657534722222223,0.341,1.3141,0.9731000000000001
2025-10-08,0.7606854166666668,0.37,1.3239,0.9539000000000001
2025-10-09,0.757803472222222,0.3337,1.3793,1.0455999999999999
2025-10-10,0.5595319444444445,0.039,1.1569,1.1179000000000001
2025-10-11,0.5845513888888889,0.155,1.184,1.029
2025-10-12,0.7663437499999998,0.3076,1.3451,1.0375
2025-10-13,0.7646513888888884,0.3599,1.3254,0.9654999999999999
2025-10-14,0.7730666666666669,0.3194,1.3729,1.0535
2025-10-15,0.7760555555555555,0.3279,1.3505,1.0226
2025-10-16,0.7822208333333336,0.3224,1.3193,0.9968999999999999
2025-10-17,0.5888062500000001,0.1661,1.1647,0.9986
2025-10-18,0.5830680555555554,0.1762,1.1522,0.9759999999999999
2025-10-19,0.7893604166666671,0.3396,1.3441,1.0045000000000002
2025-10-20,0.7871270833333335,0.3284,1.3294,1.001
2025-10-21,0.7953062500000003,0.3559,1.3281,0.9722000000000001
2025-10-22,0.7929506944444445,0.3376,1.3348,0.9972
2025-10-23,0.7813361111111115,0.3637,1.3254,0.9616999999999999
2025-10-24,0.5963583333333334,0.1355,1.1463,1.0108000000000001
2025-10-25,0.5985090277777778,0.1778,1.172,0.9942
2025-10-26,0.7873305555555553,0.3661,1.3094,0.9432999999999999
2025-10-27,0.7828958333333332,0.3474,1.3209,0.9735
2025-10-28,0.7930666666666668,0.3814,1.363,0.9816
2025-10-29,0.8069569444444444,0.3617,1.3399,0.9782000000000001
2025-10-30,0.7919604166666665,0.3217,1.3188,0.9971
2025-10-31,0.6177326388888891,0.2016,1.1689,0.9673
2025-11-01,0.6046034722222221,0.2088,1.193,0.9842000000000001
2025-11-02,0.8022444444444443,0.3823,1.3248,0.9425
2025-11-03,0.8054708333333332,0.3421,1.3314,0.9892999999999998
2025-11-04,0.7975826388888886,0.3595,1.335,0.9755
2025-11-05,0.8089555555555558,0.3759,1.328,0.9521000000000001
2025-11-06,0.8150673611111113,0.3771,1.3718,0.9946999999999999
2025-11-07,0.6155340277777775,0.2158,1.1963,0.9804999999999999
2025-11-08,0.6173409722222224,0.242,1.2197,0.9777
2025-11-09,0.8103173611111111,0.3516,1.3403,0.9887
2025-11-10,0.8189729166666667,0.2992,1.3367,1.0375
2025-11-11,0.8138590277777775,0.3475,1.3296,0.9821
2025-11-12,0.8123951388888889,0.3489,1.3537,1.0048
2025-11-13,0.8185361111111118,0.3456,1.3222,0.9766
2025-11-14,0.6290784722222221,0.2419,1.1899,0.948
2025-11-15,0.6287680555555554,0.2532,1.1995,0.9463
2025-11-16,0.820579861111111,0.3594,1.3416,0.9822
2025-11-17,0.8158548611111116,0.3623,1.3437,0.9813999999999998
2025-11-18,0.8219125000000002,0.3257,1.3419,1.0162
2025-11-19,0.8290138888888886,0.3761,1.3453,0.9692
2025-11-20,0.8211791666666669,0.3421,1.4244,1.0823
2025-11-21,0.632634027777778,0.2524,1.1626,0.9102000000000001
2025-11-22,0.6366750000000004,0.2376,1.1753,0.9377
2025-11-23,0.8264944444444443,0.3495,1.346,0.9965000000000002
2025-11-24,0.8210506944444443,0.3605,1.3475,0.9869999999999999
2025-11-25,0.8241243055555555,0.3452,1.3383,0.9931000000000001
2025-11-26,0.8299340277777778,0.2983,1.3677,1.0694
2025-11-27,0.8285638888888885,0.3187,1.3841,1.0654000000000001
2025-11-28,0.6340243055555553,0.2408,1.184,0.9431999999999999
2025-11-29,0.6504381944444445,0.2736,1.1734,0.8997999999999999
2025-11-30,0.8395993055555553,0.3651,1.3886,1.0235
2025-12-01,0.9076055555555556,0.361,1.5873,1.2263
2025-12-02,0.9153138888888888,0.378,1.584,1.206
2025-12-03,0.9120326388888892,0.3713,1.584,1.2127000000000001
2025-12-04,0.9050854166666669,0.3853,1.5836,1.1983
2025-12-05,0.7171770833333333,0.2354,1.4106,1.1752
2025-12-06,0.7271965277777777,0.3005,1.4053,1.1048
2025-12-07,0.9101083333333331,0.3908,1.6174,1.2266
2025-12-08,0.9085152777777774,0.3445,1.6698,1.3253
2025-12-09,0.9057770833333336,0.3418,1.5404,1.1985999999999999
2025-12-10,0.9161590277777777,0.3834,1.6143,1.2309
2025-12-11,0.8976340277777778,0.33,1.5835,1.2534999999999998
2025-12-12,0.7237798611111111,0.2681,1.456,1.1879
2025-12-13,0.7296965277777778,0.3133,1.4166,1.1033
2025-12-14,0.9207375,0.3769,1.5687,1.1918
2025-12-15,0.9144402777777777,0.3509,1.5558,1.2049
2025-12-16,0.9109138888888886,0.3715,1.5512,1.1797
2025-12-17,0.9088097222222216,0.3507,1.5634,1.2127
2025-12-18,0.9094777777777776,0.3508,1.5699,1.2191
2025-12-19,0.7250944444444444,0.2621,1.394,1.1319
2025-12-20,0.7189708333333333,0.2632,1.3841,1.1209000000000002
2025-12-21,0.910076388888889,0.3905,1.5659,1.1754
2025-12-22,0.9192854166666667,0.3709,1.5876,1.2167
2025-12-23,0.9126888888888887,0.3848,1.5836,1.1987999999999999
2025-12-24,0.9082652777777778,0.3591,1.547,1.1879
2025-12-25,0.910252083333334,0.2502,1.6252,1.375
2025-12-26,0.7237750000000003,0.278,1.4434,1.1654
2025-12-27,0.7212277777777779,0.2681,1.4076,1.1395
2025-12-28,0.9058916666666667,0.3477,1.5651,1.2174
2025-12-29,0.90653125,0.3684,1.5396,1.1712
2025-12-30,0.9004583333333334,0.3684,1.5554,1.1869999999999998
2025-12-31,0.9102437499999999,0.3518,1.5632,1.2113999999999998
