date,load_kwh,pv_kwh,net_energy_kwh,gross_deficit_kwh,pv_surplus_kwh,self_consumed_pv_kwh,peak_load_kw,peak_pv_kw,peak_net_load_kw,peak_reverse_flow_kw
2025-01-24,80339.5357,40510.12255,39829.41315,48391.698533333336,8562.285383333334,31947.837166666668,4657.18,6893.0015,3637.2875,2806.2275000000004
2025-01-25,80632.06428333333,42192.48881666667,38439.57546666667,48296.865966666664,9857.290500000001,32335.198316666665,4513.921,6893.025,3680.7149999999997,2790.9303
2025-01-26,126385.04865,38686.05861666667,87698.99003333332,87698.99003333332,0.0,38686.05861666667,7465.2636,6081.515,6506.019,0.0
2025-01-27,125642.95023333334,41448.033449999995,84194.91678333333,84393.41106666667,198.4942833333333,41249.53916666667,7208.8447,6775.3125,6481.8168,422.53079999999954
2025-01-28,126496.61093333333,39516.211566666665,86980.39936666666,86980.39936666666,0.0,39516.211566666665,7434.6,6368.8875,6630.473,0.0
2025-01-29,125425.44486666667,44040.24381666666,81385.20105,81515.20405,130.00299999999984,43910.240816666665,7546.7527,6744.6,6231.0774,262.47879999999986
2025-01-30,126011.04995,42268.46716666666,83742.58278333333,83970.14405,227.56126666666646,42040.9059,7406.3915,6877.2482,6374.1001,477.2029999999995
2025-01-31,80009.91998333334,41245.596933333334,38764.32305,47079.720016666666,8315.396966666665,32930.19996666667,4630.4064,6402.7778,3552.155,2371.8477
2025-02-01,76305.20628333333,41927.03035,34378.17593333333,44850.17781666666,10472.001883333332,31455.028466666667,4422.76,6817.8939,3484.94,2763.7375
2025-02-02,121705.97265,43349.6947,78356.27795,78793.4705,437.19255000000004,42912.50215,7139.7466,6888.0375,6301.5851,800.4175000000005
2025-02-03,122603.76900000001,42386.8525,80216.9165,80297.58298333334,80.66648333333342,42306.18601666667,7168.4724,6690.5234,6231.2748,213.76500000000033
2025-02-04,121578.09885000001,40383.2349,81194.86395,81513.9123,319.0483500000002,40064.18655,7107.25,6731.0625,6147.589,436.9198000000006
2025-02-05,121991.08443333332,41242.65745,80748.42698333332,80789.60933333334,41.18235000000004,41201.4751,7224.4705,6428.5545,6333.0819,146.4425000000001
2025-02-06,122252.1627,41981.10548333333,80271.05721666667,80272.45803333334,1.400816666666742,41979.704666666665,7370.8801,6471.7125,6287.1803,8.404900000000453
2025-02-07,76168.59693333333,44362.91726666666,31805.679666666667,44205.0829,12399.403233333333,31963.514033333337,4434.4978,7256.5787,3216.2246999999998,3720.5847
2025-02-08,75746.78751666666,44169.6248,31577.16271666667,43232.71175,11655.549033333335,32514.075766666665,4351.2177,7088.1,3210.87,3159.7200000000003
2025-02-09,121547.90356666666,41992.4876,79555.41596666667,79607.84538333333,52.42941666666669,41940.058183333334,7076.4168,6253.275,6138.8163,109.91499999999996
2025-02-10,121477.56451666668,47150.926933333336,74326.63758333333,75778.36535,1451.7277666666669,45699.199166666665,7204.3318,7364.325,6203.4616,1029.2300000000005
2025-02-11,121441.28161666666,46220.68448333334,75220.59713333334,76202.93678333334,982.3396500000003,45238.344833333336,7166.8905,7003.275,6113.51,651.4360000000006
2025-02-12,121363.85288333334,46097.116749999994,75266.73613333334,76631.57463333334,1364.8385,44732.27825,7161.6182,7315.923,6203.4816,1075.3881000000001
2025-02-13,121310.28371666667,49980.8047,71329.47901666666,73521.42235,2191.9433333333336,47788.86136666667,7014.89,7680.8224,6195.9096,1238.0944
2025-02-14,75872.63795,46070.83613333333,29801.80181666667,42609.102133333334,12807.300316666668,33263.53581666666,4372.7346,6962.8019,3358.6035,3174.3973000000005
2025-02-15,76054.55225,46774.461149999996,29280.0911,42635.89363333333,13355.802533333333,33418.65861666667,4277.918,7133.5125,3285.85,3472.9725
2025-02-16,121276.97728333333,45899.59818333333,75377.3791,75948.42713333333,571.0480333333331,45328.550149999995,7088.51,7028.0698,6372.5389,768.8459999999995
2025-02-17,120960.37281666667,49776.50965,71183.86316666666,73082.76455,1898.9013833333331,47877.60826666667,6988.6956,7513.7044,6214.3521,1095.8999999999996
2025-02-18,121331.27123333333,49239.88345,72091.38778333332,73288.42195,1197.0341666666664,48042.84928333334,7206.1836,7419.9499,6302.4577,973.5050000000001
2025-02-19,121866.79411666667,48987.466733333335,72879.32738333334,75154.35691666667,2275.029533333333,46712.43719999999,7070.555,7833.7125,6178.49,1543.0024999999996
2025-02-20,121105.25703333334,50112.1233,70993.13373333334,72792.92208333332,1799.7883499999998,48312.33495,7196.52,7539.824,6222.6382,1220.6745
2025-02-21,75802.00203333334,50241.74,25560.262033333333,41472.251033333334,15911.989000000001,34329.751,4384.8008,7515.7143,3334.2065,3802.4675
2025-02-22,75682.24226666667,47837.47938333333,27844.762883333333,41634.6347,13789.871816666666,34047.607566666666,4331.9968,7196.6991,3501.77,3393.3025
2025-02-23,121142.14093333333,49610.28725,71531.85368333333,72896.99576666667,1365.1420833333336,48245.14516666666,7208.9983,7288.6875,6201.7534000000005,867.4025000000001
2025-02-24,120628.98855000001,52425.954933333334,68203.03361666667,71333.93281666667,3130.8992000000003,49295.055733333335,7050.7951,7662.6274,6382.929300000001,1541.1089000000002
2025-02-25,121093.33288333334,55272.00965,65821.32323333333,70550.58276666667,4729.259533333334,50542.75011666666,7053.8,8445.2427,6220.6472,2087.2402
2025-02-26,121060.73411666666,52245.88608333334,68814.84803333333,71523.06521666667,2708.2171833333337,49537.6689,7226.31,7896.2644,6239.8008,1345.7259999999997
2025-02-27,120599.48893333333,53642.90473333333,66956.5842,71643.15313333333,4686.568933333334,48956.3358,7071.6761,8374.7625,6331.4359,2245.513099999999
2025-02-28,75385.10794999999,52092.51439999999,23292.59355,40462.45056666667,17169.857016666665,34922.65738333333,4445.4841,7498.554,3156.8507,3622.9617
2025-03-01,72244.16015,48585.39421666667,23658.765933333332,39313.385266666664,15654.619333333334,32930.77488333333,4142.36,7492.2702,3225.63,3966.9447999999998
2025-03-02,117860.41708333332,45502.110016666666,72358.30706666668,72595.20049999999,236.89343333333318,45265.216583333335,6795.4853,6686.5125,6375.283899999999,641.4124999999995
2025-03-03,117958.74560000001,45941.598966666665,72017.14663333334,73189.57896666667,1172.4323333333332,44769.166633333334,6791.92,6971.9847,6242.5553,1069.7358999999997
2025-03-04,118139.02498333332,48939.567050000005,69199.45793333334,70914.67113333334,1715.2132000000001,47224.35385000001,6925.7674,7151.277,6059.9403,1115.8274999999994
2025-03-05,118073.44383333334,51942.971816666664,66130.47201666667,68767.90856666667,2637.4365500000004,49305.535266666666,6756.2638,7677.225,6237.7933,1706.5374999999995
2025-03-06,117673.59855,51732.944416666665,65940.65413333333,68907.43651666667,2966.782383333333,48766.162033333334,6885.88,7499.5431,6417.7809,1441.1648999999998
2025-03-07,71680.36145,50758.07591666666,20922.285533333332,38142.224,17219.938466666666,33538.13745,3889.226,7968.7764,2975.89,4372.365
2025-03-08,72344.71158333334,53281.57206666667,19063.139516666666,38475.91366666667,19412.77415,33868.79791666667,3945.5771,7735.1789,3225.68,4132.3793000000005
2025-03-09,117692.9865,54359.46145,63333.52505,67661.33005,4327.805,50031.65645,6856.1255,8501.7,5987.9076000000005,2588.4321
2025-03-10,117943.06436666666,49900.99291666667,68042.07145,68972.2149,930.14345,48970.84946666667,6838.7388,6867.5106,6059.7054,719.5289000000002
2025-03-11,117499.55295,53560.63415,63938.91879999999,67540.96113333333,3602.0423333333333,49958.59181666666,6815.7693,7760.9319,6096.0156,1886.6788999999999
2025-03-12,118112.23683333333,55676.70215,62435.53468333333,67323.01068333334,4887.476,50789.22615,6849.8277,7996.2,6107.4538,1942.6122999999998
2025-03-13,118237.27704999999,50691.65903333333,67545.61801666666,68272.85921666666,727.2411999999999,49964.41783333333,6755.97,6841.65,6044.2285,798.21
2025-03-14,72108.86895,56079.44296666666,16029.425983333334,37424.63611666667,21395.210133333334,34684.232833333335,4085.718,8505.6624,2980.29,4817.732699999999
2025-03-15,72724.98178333334,51800.85663333334,20924.12515,38207.63546666667,17283.510316666667,34517.34631666667,3931.58,7167.0696,3459.73,3612.67
2025-03-16,117983.21598333334,54632.16905,63351.04693333333,66922.08571666667,3571.0387833333334,51061.13026666667,6761.78,8389.425,6031.1747,1975.0249999999996
2025-03-17,117693.62180000001,59835.490366666665,57858.13143333333,64277.59396666667,6419.462533333334,53416.02783333333,6833.9697,8640.9976,5993.2214,2533.1063999999997
2025-03-18,117253.42358333334,56127.465216666664,61125.958366666666,66005.03358333332,4879.075216666667,51248.39000000001,6921.4474,7904.3377,5979.2853000000005,1979.29
2025-03-19,117281.558,57816.08755,59465.47045,65489.434733333335,6023.964283333332,51792.12326666667,6689.6717,8611.9875,5980.2715,2563.7905999999994
2025-03-20,117648.38173333334,55439.419916666666,62208.96181666667,66119.8385,3910.8766833333334,51528.54323333333,6757.81,8090.5707,5838.5445,2235.3408
2025-03-21,72593.53221666666,60560.06770000001,12033.464516666667,36968.94995,24935.485433333335,35624.582266666665,4034.39,8906.5125,2968.95,5163.202500000001
2025-03-22,71936.92953333333,56055.7298,15881.199733333333,36745.1311,20863.931366666668,35191.79843333334,4167.1,8278.4416,3487.42,4646.6599
2025-03-23,117739.97726666667,58970.25715,58769.720116666664,64423.697049999995,5653.976933333332,53316.280216666666,6763.6612,8184.1843,5879.764800000001,2261.2538999999997
2025-03-24,117425.17061666667,59426.67353333333,57998.49708333333,64983.40586666667,6984.908783333333,52441.76475,6795.0967,8525.2623,5869.9383,2401.5012000000006
2025-03-25,118053.16781666667,57103.0431,60950.124716666665,65738.09268333334,4787.967966666667,52315.07513333333,6871.31,8011.0998,5736.8591,2020.1922999999997
2025-03-26,117704.6278,62112.07293333334,55592.554866666665,63767.07139999999,8174.516533333334,53937.5564,6761.9518,8768.6625,5642.3966,2615.789999999999
2025-03-27,117952.59836666666,59235.608966666674,58716.9894,64449.9248,5732.935400000001,53502.673566666665,6909.2138,8850.1024,5575.4676,2961.7504
2025-03-28,71891.76726666666,61069.8865,10821.880766666665,36217.220916666665,25395.34015,35674.54635,4079.1469,8901.8625,3048.1933,5358.922499999999
2025-03-29,72118.27746666667,64411.068283333334,7707.209183333333,36391.040733333335,28683.83155,35727.23673333333,3864.2226,9127.0875,3416.19,5432.9375
2025-03-30,117994.70585000001,62649.086149999996,55345.6197,63156.19126666667,7810.5715666666665,54838.51458333334,6727.68,8892.9124,5715.4641,3006.4775
2025-03-31,117075.66561666667,60124.27613333333,56951.38948333333,62629.74600000001,5678.356516666667,54445.91961666667,6612.033,8322.4163,5728.788100000001,2176.83
2025-04-01,117967.14630000001,57758.29478333334,60208.85151666667,63278.996666666666,3070.1451500000003,54688.14963333333,6737.56,7235.1617,5704.7228,1056.0114999999996
2025-04-02,117986.62945000001,57551.29405,60435.3354,64232.825000000004,3797.4896000000003,53753.804449999996,6730.1456,7663.9875,5529.4444,1695.9175000000005
2025-04-03,117884.4561,62020.925833333335,55863.53026666667,63767.760083333334,7904.229816666666,54116.69601666666,6769.6013,8969.2875,5552.9499,3009.5212999999994
2025-04-04,71735.75181666667,65304.94956666667,6430.80225,35225.740933333334,28794.938683333337,36510.01088333333,3917.1456,9069.662,3021.02,5570.2924
2025-04-05,72602.74256666667,60558.62758333333,12044.114983333333,35634.943316666664,23590.828333333335,36967.799250000004,3931.66,8792.8044,3305.13,4933.116400000001
2025-04-06,117205.43058333332,62795.354316666664,54410.07626666667,62308.395683333336,7898.319416666665,54897.0349,6763.27,8801.4075,5273.1861,2838.3557999999994
2025-04-07,117015.14203333332,63772.42275,53242.71928333333,61239.47338333333,7996.754099999999,55775.66865,6828.7119,9287.9673,5291.463600000001,2935.2790000000005
2025-04-08,117713.29026666666,63360.09665,54353.193616666664,63275.16041666667,8921.9668,54438.12985,6699.2279,9020.2965,5555.5215,2957.9529999999995
2025-04-09,117677.52253333334,58543.21151666666,59134.31101666667,63209.33521666667,4075.0242,54468.18731666667,6736.99,8105.8317,5423.1895,2064.0822
2025-04-10,117668.70068333333,63208.062783333335,54460.6379,62629.06575,8168.42785,55039.63493333333,6855.2097,9420.75,5309.4066,3236.1643999999997
2025-04-11,72091.99675,66775.34658333333,5316.650166666667,34977.68556666667,29661.035399999997,37114.31118333333,4037.65,9272.7325,2958.92,5677.825
2025-04-12,71957.17576666667,62932.01521666666,9025.16055,34387.49596666667,25362.33541666667,37569.6798,3976.12,8208.225,3430.32,4579.935
2025-04-13,117283.0622,63006.70371666667,54276.35848333334,61213.74331666667,6937.3848333333335,56069.31888333333,6693.9151,8404.2373,5402.1328,2529.2762000000002
2025-04-14,117901.37268333333,65373.34088333333,52528.0318,60261.84811666667,7733.816316666667,57639.52456666667,6671.9435,8660.749,5269.4792,2593.6927000000005
2025-04-15,117056.90516666666,66917.47633333334,50139.42883333334,59767.99498333334,9628.56615,57288.91018333333,6608.09,9218.8911,5358.5229,3146.2063
2025-04-16,117924.88506666665,62145.29311666667,55779.59195,61259.50154999999,5479.9096,56665.38351666666,6685.7564,8410.2,5019.7968,2016.6433000000006
2025-04-17,117487.04263333335,64618.70028333333,52868.34235,60428.6936,7560.35125,57058.34903333333,6827.5423,8705.7127,5068.781999999999,2856.665
2025-04-18,71490.16935,65136.05216666667,6354.117183333333,33809.68675,27455.56956666667,37680.482599999996,3994.77,8269.4625,2858.9231,4769.6296999999995
2025-04-19,71905.41535,65120.7361,6784.67925,33756.508383333334,26971.829133333333,38148.90696666667,3916.12,8731.5486,3429.12,5284.3683
2025-04-20,117197.81635,65240.07146666667,51957.74488333333,60224.369333333336,8266.624450000001,56973.447016666665,6792.02,8612.625,5118.2252,2533.8650000000007
2025-04-21,118481.63788333333,69964.7275,48516.910383333336,59067.6362,10550.725816666667,59414.001683333336,6857.4023,9678.323,4784.2622,3744.9588999999996
2025-04-22,117811.00101666666,65658.0717,52152.92931666667,59612.3151,7459.385783333334,58198.68591666667,6745.3697,8660.9267,4964.2357,2455.0105999999996
2025-04-23,118030.51476666667,66630.59805,51399.91671666667,58967.73508333333,7567.818366666666,59062.779683333334,6759.7251,8613.0375,4988.9386,2284.7775
2025-04-24,117497.77966666665,70407.67296666667,47090.106700000004,58038.56606666666,10948.459366666668,59459.213599999995,6821.3307,8947.3125,5025.7648,2935.0621999999994
2025-04-25,71763.32119999999,69762.96355,2000.3576500000008,32989.68418333333,30989.32653333333,38773.63701666667,3864.97,8982.5391,2941.25,5296.2688
2025-04-26,72100.92436666666,72030.73073333333,70.19363333333258,33485.732866666665,33415.53923333334,38615.1915,4037.34,10216.2,3346.82,6452.077500000001
2025-04-27,117032.52253333334,68459.05135000001,48573.471183333335,59589.03588333333,11015.5647,57443.48665,6958.0721,9773.1872,4927.5191,3886.1266000000005
2025-04-28,117537.30080000001,60915.33348333333,56621.96731666667,60437.560399999995,3815.593083333333,57099.7404,6733.06,7986.2625,5010.9542,2093.2967
2025-04-29,117252.75871666666,69819.545,47433.21371666667,58240.49951666666,10807.2858,59012.2592,6742.0744,8972.0663,4849.4237,2892.068399999999
2025-04-30,117682.88071666665,69426.02628333333,48256.854433333334,57032.848366666665,8775.993933333333,60650.03235,6649.8942,8402.325,4763.0357,2325.885000000001
2025-05-01,120364.58391666667,69353.20511666666,51011.3788,62268.91393333333,11257.535133333333,58095.66998333333,6698.4213,9235.0962,5306.9852,3301.104799999999
2025-05-02,74761.02673333333,60470.70665,14290.320083333334,36812.2361,22521.916016666666,37948.79063333333,4037.2752,7707.4723,3489.56,4130.4463
2025-05-03,74894.84928333333,66027.67763333333,8867.17165,35954.40625,27087.2346,38940.44303333334,3969.5171,8849.55,3576.17,5269.679999999999
2025-05-04,120670.08423333334,68935.4169,51734.66733333334,60023.498666666674,8288.831333333334,60646.58556666667,6661.7452,8612.3007,5046.1684000000005,2214.7749999999996
2025-05-05,120612.16386666667,65536.15706666667,55076.0068,62605.940383333334,7529.933583333334,58006.223483333335,6978.6702,8933.5125,5658.2886,3152.402500000001
2025-05-06,121017.1901,68147.10773333332,52870.08236666667,62619.3534,9749.271033333333,58397.83669999999,6705.06,9114.75,5279.8461,3060.0600000000004
2025-05-07,121160.21501666667,66092.36906666667,55067.845949999995,63256.459566666665,8188.6136166666665,57903.75545,6722.44,8872.1198,5531.5237,3086.9114
2025-05-08,120445.47738333333,64618.96498333333,55826.5124,61436.52783333333,5610.015433333334,59008.94955,6745.9356,7902.6323,5278.6294,1865.8810000000003
2025-05-09,74253.82545,65754.4396,8499.38585,35550.557733333335,27051.171883333333,38703.26771666667,3944.2,8503.9468,3376.6729,5146.295899999999
2025-05-10,74647.98705,62526.94176666666,12121.045283333335,35635.61063333334,23514.56535,39012.376416666666,4059.8774,8429.3679,3508.15,4874.010699999999
2025-05-11,120743.09041666666,65259.01133333333,55484.07908333334,61357.3964,5873.3173166666675,59385.69401666667,6810.1725,8567.925,5165.37,2487.187099999999
2025-05-12,120448.60361666667,68517.40838333334,51931.19523333333,59196.45891666666,7265.263683333334,61252.144700000004,6688.1596,8631.9801,5236.405900000001,2081.7736999999997
2025-05-13,120269.63160000001,67140.41883333333,53129.212766666664,60032.25418333333,6903.041416666667,60237.37741666666,6792.9639,8286.2625,5128.849099999999,2413.9951999999994
2025-05-14,120592.00526666666,67577.85648333334,53014.14878333333,60100.389983333334,7086.2412,60491.61528333334,6741.5507,8331.611,5218.7995,2319.1979
2025-05-15,119598.30981666666,66833.25153333333,52765.05828333334,60761.21736666667,7996.159083333333,58837.09245,6694.68,8915.797,5019.1591,2795.0082
2025-05-16,74681.34475,71965.83821666667,2715.5065333333328,34564.5663,31849.05976666667,40116.77845,3979.47,9398.3872,3564.3905,5999.776899999999
2025-05-17,75274.53043333333,64825.731349999995,10448.799083333333,35508.19875,25059.399666666664,39766.33168333333,3978.2882,8226.474,3636.98,4438.727999999999
2025-05-18,120687.037,67010.8689,53676.1681,60069.27995,6393.11185,60617.75704999999,6709.39,8228.9882,5031.42,1852.3386
2025-05-19,120072.38798333333,72557.17143333334,47515.216550000005,58731.65725,11216.4407,61340.73073333333,6801.6883,9791.55,5402.02,3571.909999999999
2025-05-20,120437.57771666667,65910.1829,54527.39481666667,59974.841283333335,5447.446466666666,60462.73643333333,6727.4774,8033.105,5046.9936,1666.9581999999991
2025-05-21,120283.05128333333,68920.436,51362.61528333334,59960.26363333333,8597.64835,60322.787650000006,6708.7105,8834.8555,5020.7605,2833.3634999999995
2025-05-22,119729.68001666667,68913.0492,50816.630816666664,59131.75305,8315.122233333333,60597.92696666667,6921.1675,8415.9375,5015.42,2545.5575
2025-05-23,74983.38438333334,68562.4355,6420.9488833333335,34474.98308333333,28054.0342,40508.4013,4036.6378,8776.2758,3336.64,5205.9565
2025-05-24,74693.81781666666,70939.31643333334,3754.5013833333337,34373.462583333334,30618.9612,40320.355233333335,3857.16,9024.9261,3455.7649,5431.965
2025-05-25,120319.8776,71774.86741666666,48545.01018333333,58581.407483333336,10036.397299999999,61738.470116666664,6819.6863,9350.4,5229.94,3433.1899999999996
2025-05-26,119407.96936666667,64828.13641666667,54579.83295,59881.76523333333,5301.932283333333,59526.20413333334,6742.8242,7902.2191,5021.3928,2057.6575000000003
2025-05-27,120046.82734999999,70656.46005000001,49390.367300000005,58423.55568333333,9033.188383333334,61623.27166666667,6765.3057,9260.8875,4960.4213,3203.817500000001
2025-05-28,119921.84721666668,67648.02311666666,52273.8241,59615.69503333333,7341.870933333333,60306.15218333333,6696.9493,8775.1952,4972.5913,2482.3899999999994
2025-05-29,120439.31426666667,66329.19076666667,54110.123499999994,60704.46505,6594.34155,59734.84921666666,6727.69,8777.3689,5106.9046,2840.4520999999995
2025-05-30,74612.22448333334,68015.99121666666,6596.233266666666,34628.710366666666,28032.4771,39983.514116666665,4006.9058,9923.7033,3265.73,6318.4106999999985
2025-05-31,74778.33258333334,66389.15103333334,8389.18155,34655.005750000004,26265.8242,40123.32683333333,4191.11,8854.4041,4191.11,5011.3438
2025-06-01,128248.56003333333,57023.733733333334,71224.8263,71783.85753333334,559.0312333333333,56464.70250000001,7143.6182,7196.5431,5645.348599999999,1201.12
2025-06-02,128080.53698333334,59439.72953333333,68640.80745000001,72574.253,3933.44555,55506.283983333335,7148.4465,8544.6515,5687.0007,2121.8803
2025-06-03,128076.84056666667,59884.47373333334,68192.36683333333,71309.91296666667,3117.5461333333333,56766.927599999995,7339.7755,8094.45,5822.666499999999,1848.9033
2025-06-04,128539.84358333332,58894.58276666667,69645.26081666666,71016.93365,1371.6728333333333,57522.909933333336,7332.9253,7396.2173,5883.2922,983.0874999999996
2025-06-05,128455.92066666666,57306.60264999999,71149.31801666667,73034.46285,1885.144833333333,55421.45781666667,7187.6205,7293.9266,5616.6012,1021.1953000000003
2025-06-06,82747.415,51892.4196,30854.9954,43688.0814,12833.086000000001,39059.3336,4411.7038,6809.5125,3973.01,3311.1425
2025-06-07,83156.75975,52030.24658333333,31126.513166666668,42513.6582,11387.145033333334,40643.10155,4580.8126,6798.3,4175.29,3217.13
2025-06-08,128266.94665,63082.023383333326,65184.92326666667,68798.46563333333,3613.542366666666,59468.481016666665,7464.8973,7976.7529,5811.191,1480.9298
2025-06-09,128169.18798333332,57236.475249999996,70932.71273333333,72898.13276666666,1965.420033333333,55271.05521666667,7491.4643,7458.0375,6207.1145,1404.5775000000003
2025-06-10,127414.49178333335,55796.047549999996,71618.44423333333,72991.72328333334,1373.2790499999999,54422.7685,7093.9549,7389.523,5882.4495,861.5079000000005
2025-06-11,128236.67731666665,52152.231,76084.44631666667,77108.2415,1023.7951833333331,51128.435816666664,7380.2678,7225.3875,5751.2209,1287.7474999999995
2025-06-12,127721.81298333332,55269.42155,72452.39143333332,73573.8846,1121.4931666666669,54147.92838333334,7160.782,7236.442,5890.2901,935.2600000000002
2025-06-13,81889.5904,53544.276699999995,28345.3137,42078.504883333335,13733.191183333334,39811.085516666666,4255.2431,7245.4464,4009.0832,3485.9551
2025-06-14,82253.15711666667,56059.814366666666,26193.34275,42171.847416666664,15978.504666666668,40081.3097,4411.5054,7014.7419,4058.3314,3376.9399999999996
2025-06-15,127368.88451666666,56741.91018333333,70626.97433333333,71341.95015,714.9758166666669,56026.93436666666,7216.4039,7168.4094,5729.4257,914.4186
2025-06-16,127618.63201666666,54924.5792,72694.05281666666,73880.85633333333,1186.8035166666666,53737.77568333333,7060.76,7403.1285,5505.2051,975.4281000000001
2025-06-17,127311.7546,52674.74338333333,74637.01121666667,75038.94765,401.9364333333333,52272.80695,7060.19,6701.7119,5610.06,673.2804999999998
2025-06-18,126909.07891666667,55980.68801666666,70928.3909,71316.05611666666,387.66521666666677,55593.0228,7018.6017,6770.4375,5658.894899999999,616.4475000000002
2025-06-19,127349.06689999999,59089.5627,68259.5042,71107.39088333333,2847.886683333334,56241.676016666665,7327.2228,7864.0204,5859.6028,1305.0508
2025-06-20,81137.07971666667,58736.49886666667,22400.58085,40371.6677,17971.08685,40765.41201666667,4296.4077,7189.044,3961.77,3386.225
2025-06-21,81408.06480000001,62073.324400000005,19334.7404,40294.02645,20959.286050000002,41114.038349999995,4317.2602,8605.7877,4004.9442,4844.465
2025-06-22,126539.46191666667,59082.12081666666,67457.3411,69328.11858333333,1870.7774833333333,57211.34333333333,7279.16,7457.995,5722.1598,1131.1871
2025-06-23,126690.87308333332,59629.58708333334,67061.28600000001,70408.85521666666,3347.569216666667,56282.01786666666,7056.9931,7627.9975,5715.349499999999,1447.7963
2025-06-24,127112.84501666667,50844.05276666667,76268.79225,76438.0751,169.2828499999999,50674.769916666664,7156.4187,6472.05,5776.8342,465.7038999999995
2025-06-25,126310.40843333333,55872.98706666666,70437.42136666666,71238.16965,800.7482833333337,55072.238783333334,7070.11,6720.9071,5507.949,965.1350000000002
2025-06-26,126697.44536666667,59150.06153333333,67547.38383333334,69907.7716,2360.3877666666663,56789.67376666667,7153.1245,8081.5233,5587.6203,1684.5451999999996
2025-06-27,79563.255,59791.60913333334,19771.645866666666,39671.3219,19899.676033333333,39891.9331,4191.3944,7986.9642,3940.95,4328.566699999999
2025-06-28,80661.57280000001,58884.64668333333,21776.926116666666,40203.92735,18427.001233333332,40457.64545,4214.7846,8626.2441,4151.9,4875.6156
2025-06-29,126384.80871666667,57117.04018333333,69267.76853333334,70513.8637,1246.095166666667,55870.945016666665,7106.6146,7585.2486,5586.6528,1329.9317
